Mot,Nombre de fois
bonne,657
bonjour,489
france,470
macron,376
contre,339
journe,298
demain,265
monde,258
franais,256
giletsjaunes,251
temps,247
jamais,229
politique,213
bonsoir,213
dbat,205
belle,189
mieux,186
mission,183
petit,180
journaliste,169
gilets,162
moment,160
question,159
soire,158
journalistes,155
amp,154
propos,152
pouvoir,151
jaunes,151
samedi,146
gouvernement,145
paris,142
chose,141
honte,141
coucou,139
mdias,135
super,133
femmes,133
prsident,126
maintenant,125
raison,124
place,124
passe,120
aller,118
femme,118
mettre,117
parjupiter,117
travail,116
peuple,115
plutt,114
allez,113
daccord,113
rponse,112
tweet,112
aujourdhui,110
photo,109
compte,108
comprendre,106
problme,104
droit,103
direct,103
benalla,102
gauche,102
semaine,101
lmission,101
enfants,100
matin,99
monsieur,98
prendre,98
pascal,97
demande,96
dautres,96
passer,94
courage,94
savoir,94
niveau,93
haine,91
donne,90
madame,89
police,89
petite,88
castaner,88
plaisir,87
pauvre,86
compris,86
tpmp,85
jespre,85
pourtant,84
merde,84
dimanche,84
suite,84
dmocratie,83
vido,82
justice,82
vient,81
homme,81
service,81
plateau,81
mouvement,80
voil,80
davoir,80
forme,80
rpublique,79
jours,79
grave,77
violence,77
violences,77
drle,77
peuttre,77
politiques,76
point,76
invit,76
lordre,76
dbut,76
genre,75
manque,75
herv,75
souhaite,75
besoin,74
quun,74
choses,74
questions,74
laisse,73
donner,73
crois,73
trouve,72
quelquun,72
doute,72
devrait,72
cause,72
penser,72
manifester,71
autant,71
regarder,71
soir,71
sylvie,71
veulent,70
invits,70
larme,69
grande,69
simple,69
viens,69
livre,69
chronique,69
ministre,68
journalisme,68
snat,68
millions,68
facile,68
weekend,68
valentin,68
jadore,67
libert,67
lesvoixdelinfo,67
petits,65
boulot,64
faon,64
soutien,64
rapport,64
pass,64
guerre,64
presse,64
parti,64
paolo,64
croire,63
pareil,63
marche,63
quune,63
public,63
jaune,62
faudrait,62
amandine,62
systme,61
quotidien,61
partie,61
venir,61
nouvelle,61
soleil,61
jaime,60
regarde,60
connais,60
comprends,60
vrit,60
change,60
couter,60
caroline,60
grce,59
dommage,59
casseurs,59
avril,59
franaise,58
twitter,58
preuve,58
manifestants,58
pouvez,58
bfmtv,57
arrter,57
radio,57
excellent,57
mmes,57
linvit,57
salut,56
maison,56
philippe,55
respect,55
famille,55
annes,55
lrem,54
bande,54
nimporte,54
garde,54
manif,54
meilleur,54
chane,54
mireille,54
heureusement,53
devient,53
grands,53
spectacle,53
taient,53
black,53
dites,53
vivre,53
autour,53
discours,53
interview,52
lautre,52
demander,52
entendu,52
simplement,52
dailleurs,52
rpondre,52
liste,52
jupiter,52
europe1,52
exemple,51
majorit,50
trouver,50
leurope,50
affaire,50
laffaire,49
contraire,49
vieux,49
magnifique,49
dire,49
disneyland,49
sortir,48
dfendre,48
normal,48
policiers,48
quen,48
mlenchon,48
trouv,48
payer,47
responsable,47
premire,47
manifestation,46
mme,46
hommes,46
ltat,46
partir,46
voulez,46
bises,46
crise,45
humour,45
effectivement,45
lair,45
chance,45
attention,44
porte,44
bientt,44
train,44
libre,44
excellente,44
changer,44
totalement,44
ntait,44
srieux,44
mediapart,44
choix,43
prfre,43
dernier,43
gueule,43
citoyens,43
manifestations,43
pays,43
galement,43
apptit,43
rebelle,43
didine,43
reportage,43
replay,42
commentaires,42
clair,42
navez,42
marre,42
regardez,42
difficile,42
centurion,42
plenel,42
histoire,41
article,41
envie,41
chine,41
malheureusement,41
nuit,41
jtais,41
vrais,41
forces,40
prend,40
terre,40
lhumour,40
nombre,40
srement,40
champs,40
nationale,40
fabrice,40
nouvelles,40
actexix,39
images,39
arrive,39
faute,39
dsol,39
situation,39
lquipe,39
appel,39
blocs,39
perdu,39
classe,39
jeune,39
inter,39
inviter,38
ferme,38
semaines,38
blague,38
missions,38
faits,38
retrouver,38
perso,38
etait,38
chercher,38
paillette,38
propagande,38
cnews,37
putain,37
manifs,37
retraite,37
ligne,37
mauvaise,37
casse,37
gnral,37
vouloir,37
presque,37
grosse,37
voiture,37
nature,37
qualit,37
ggrmc,37
legrandechiquier,37
mpris,36
faisait,36
morts,36
heures,36
dictature,36
tombe,36
tirer,36
prochain,36
groupe,36
publique,36
mdiatique,36
vendredi,36
jackie,36
copain,36
tweets,36
passage,35
conneries,35
appelle,35
prochaine,35
combat,35
uniquement,35
bloqu,35
europennes,35
rappelle,35
soutiennent,35
rire,35
annonce,35
existe,35
jeudi,35
feepaillette,35
musique,35
mtier,35
pensent,35
intressant,35
france2,35
charline,35
sagit,34
triste,34
pierre,34
demand,34
franchement,34
acte19,34
dirait,34
dautre,34
pseudo,34
sarkozy,34
rponses,34
jeunes,34
disent,34
message,34
raction,34
journal,34
lolll,34
lacriseetapres,34
charge,34
sonia,34
porter,33
rendezvous,33
probleme,33
sociaux,33
bourdindirect,33
arrtez,33
musulmans,33
arrte,33
rappeler,33
socit,33
pauvres,33
culture,33
sympa,33
retrouve,33
laurent,33
devenu,32
corps,32
talent,32
commence,32
part,32
peine,32
colre,32
minutes,32
lhistoire,32
victimes,32
aider,32
impossible,32
saint,32
manger,32
lhomme,32
titre,32
prenez,32
cours,32
coeur,32
europenne,32
fraises,32
ombre,32
nuitee,32
rpression,32
regard,31
quipe,31
critique,31
fouquets,31
oubli,31
savez,31
prfet,31
limpression,31
prsente,31
macroniste,31
exactement,31
continuer,31
problmes,31
propre,31
parlez,31
vrai,31
maire,31
bisous,31
parents,31
adore,31
gnial,31
droits,30
vivement,30
anne,30
chteau,30
ouais,30
