Mot,Nombre de fois
france,1568
macron,1130
giletsjaunes,1111
contre,963
franais,921
monde,821
temps,671
paris,611
politique,607
mdias,606
gilets,596
jaunes,586
jamais,467
tpmp,444
gouvernement,444
mieux,437
pouvoir,434
demain,415
prsident,412
bonne,411
peuple,399
journalistes,354
place,351
presse,348
raison,347
question,339
enfants,338
moment,334
amp,329
aujourdhui,328
matin,328
honte,324
samedi,323
vido,318
article,314
ministre,307
journaliste,306
dbat,305
petit,298
mettre,294
propos,287
travail,285
semaine,281
savoir,274
femmes,273
mouvement,273
droit,271
gauche,270
chose,269
allez,265
nouvelle,264
guerre,258
franaise,257
castaner,256
justice,256
rponse,255
benalla,254
prendre,253
passe,252
violences,251
maintenant,245
donne,243
demande,238
photo,236
direct,236
violence,232
davoir,232
besoin,230
niveau,230
police,230
casseurs,226
donner,225
femme,223
passer,219
compte,217
jours,214
cause,214
leurope,211
millions,211
plutt,210
merde,210
europennes,209
marche,209
jeunes,208
veulent,208
lordre,204
point,204
haine,204
voil,203
partie,203
politiques,203
chine,202
tweet,201
brexit,198
manifestation,198
problme,197
belle,197
rpublique,197
service,196
vrit,194
libert,193
reportage,192
grave,192
monsieur,191
suite,190
grande,188
musulmans,188
larme,187
manifester,185
dimanche,183
daccord,183
changer,179
parti,177
croire,176
situation,174
prend,173
aller,173
liste,172
actexix,168
premire,167
public,166
partir,166
comprendre,166
dautres,165
dmocratie,165
trouve,165
mission,165
autant,163
quun,163
grce,162
genre,161
manifestants,160
porte,159
ralit,157
dernier,156
pourtant,156
bientt,156
fouquets,156
homme,156
venir,155
jaune,155
doute,154
payer,153
europe,152
journal,152
radio,151
pauvre,150
devrait,149
sondage,148
crois,147
vient,146
livre,146
affaire,144
vivre,143
soutien,141
rapport,141
quelquun,141
bonjour,140
compris,139
crise,139
quune,139
militaires,139
lundi,138
propagande,138
choses,137
trouver,137
exemple,136
morts,135
facebook,135
annes,134
commentaires,134
taient,134
normal,134
linvit,134
peuttre,133
lmission,133
bande,133
nimporte,133
plaisir,133
manque,132
faudrait,132
arrter,132
lhistoire,131
faon,131
laisse,131
jespre,131
pays,131
pass,130
lrem,130
interview,129
fonctionnaires,129
publique,129
couter,128
dbut,128
simple,128
dites,128
terroriste,128
mmes,127
retraite,127
petite,127
demander,127
manifestations,126
trump,126
preuve,126
photos,126
pouvez,125
campagne,125
charge,125
journe,125
silence,124
questions,124
sociaux,123
images,122
invit,121
respect,121
histoire,120
larticle,119
sant,119
prison,119
titre,119
faute,119
courage,118
galement,118
nombre,118
acte19,118
soir,117
rsultat,117
ligne,117
quotidien,116
policiers,116
socit,115
journalisme,115
discours,115
solution,114
dernire,114
super,114
manif,114
vrais,114
petits,113
jouer,113
choix,113
entendu,113
train,113
groupe,112
projet,112
climat,112
penser,112
change,112
lections,112
linformation,111
heures,111
madame,111
stylosrouges,111
garde,110
algrie,110
partout,110
risque,110
informations,110
victimes,109
dtat,109
belgique,109
programme,109
voile,108
dpart,108
devient,107
champs,107
christchurch,107
plainte,107
lquipe,106
lves,106
message,106
commence,106
dailleurs,106
ville,105
europenne,105
gueule,105
snat,105
europeennes2019,105
arrive,105
ltat,104
voulez,104
laffaire,104
rester,104
mains,104
majorit,104
droits,104
plateau,103
chance,103
faits,103
sociale,103
regarder,103
philippe,102
weekend,102
forces,102
libre,102
dputs,101
dfendre,101
appel,101
