Mot,Nombre de fois
qubec,699
polqc,473
mdias,321
assnat,319
match,312
monde,301
temps,268
vraiment,240
bonne,233
jamais,224
trudeau,212
parti,210
canada,207
tait,196
quebecimmigrationinjustice,196
grand,193
aprs,188
trump,176
question,172
gouvernement,171
montral,170
belle,169
qubcois,167
raison,162
place,161
chose,160
mieux,158
problme,151
polcan,147
nouvelle,145
budget,140
droit,133
jeunes,131
saison,130
point,128
besoin,126
travail,122
projet,122
drouin,122
manque,120
franais,119
matin,118
allez,118
pouvoir,114
enfants,113
partie,112
daccord,109
passe,108
jespre,107
prendre,106
veulent,106
semaine,106
legault,104
entrevue,104
ministre,102
cause,101
crois,101
article,101
